880,262,37,40
880,262,37,40
880,262,37,40
193,214,34,81
190,217,34,81
188,221,34,81
186,224,34,81
186,227,34,81
181,234,34,81
187,233,34,81
186,232,34,81
188,233,34,81
191,231,34,81
193,230,34,81
196,230,34,81
196,230,34,81
200,226,34,81
204,225,34,81
205,223,34,81
208,222,34,81
209,222,34,81
215,223,34,81
218,227,34,81
222,227,34,81
224,231,34,81
228,230,34,81
231,234,34,81
234,235,34,81
239,234,34,81
246,233,34,81
250,233,34,81
255,233,34,81
258,232,34,81
263,231,34,81
266,229,34,81
269,232,34,81
273,232,34,81
275,233,34,81
279,235,34,81
283,236,34,81
286,240,34,81
291,244,34,81
293,243,34,81
295,243,34,81
295,241,34,81
295,239,34,81
294,238,34,81
294,238,34,81
293,238,34,81
291,237,34,81
290,239,34,81
287,237,34,81
290,237,34,81
286,234,34,81
281,231,34,81
283,234,34,81
282,234,34,81
282,237,34,81
278,238,34,81
275,239,34,81
273,241,34,81
272,242,34,81
265,242,34,81
262,241,34,81
257,241,34,81
248,243,34,81
243,243,34,81
242,243,34,81
234,245,34,81
232,246,34,81
228,242,34,81
221,242,34,81
216,241,34,81
205,240,34,81
200,237,34,81
189,237,34,81
184,238,34,81
178,239,34,81
176,239,34,81
168,236,34,81
167,238,34,81
161,238,34,81
155,234,34,81
150,233,34,81
145,231,34,81
137,229,34,81
136,229,34,81
132,228,34,81
